"city","requirement"
"Нур султан","Цефтриаксон. Арбидол, ингавирин"
"Алматы","Мне нужно лекарство трипликсам с дозировкой  10мг/2.5мг/10мг. Куплю. Вчера все аптеки обошли только одну нашли, а нам еще одна нужна."
"Лыткарино","Феррум лек"
"Алматы","Сумамед в таблетках по 500"
"Алматы","Цефамед около 20 упаковок, ацикловир, нобазит"
"Караганда","Ротацеф"
"Нур-Султан","Куплю клексан в большом количестве"
"Жезказган","Цефазали Цефтриаксо Ледокаи Новакаи По 10 штук каждая  температура 39 у мужа и у мамы и папы нет в аптеке по городу"
"Кызылорда","Нужны противовирусные таблетки, аспирин, парацетамол, антигриппин в любом количестве. Антибиотики цефазолин, витамин С, цеф-3.Можем купить за любую цену. 🙏🙏🙏🙏🙏"
"Талгар","Глюкоза 200 , аскорбинка 5 ампул , и все это на три дня. Спасибо."
"Шымкент","Тамифлу, инговирин, укорил"
"Алматы","Аскорбиновая кислота, глюкоза 200.0"
"Алматы","Флуканазол"
"Алматы","Нужны лекарства: Дексаметазон 8 мг на 100 мл натрия хлорида Клексан или фраксипари Азитромицин 500 мг"
"Шымкент","Нужны деньги на лекарства"
"Алматы","На Макатаева есть госпиталь для 300 человек. Мед.персонал оооочень устает. Дома не бывали по 2-3 месяца. Нужны продукты их детям, семьям"
"Алматы","Лекарство-роцефин"
"Семей","Меропенем"
"Караганда","Цефтриаксон(Россия)"
"Шымкент","Нужны противовирусные таблетки любые"
"Алматы","Витамины"
"Алматы","Демотон - Т"
"Элиста","Лекарство ""Мадопар 250 мг"" в таблетках.. Пожалуйста 🙏🏻"
"Шымкент","Реамберин нужно 10штук дядя в реанимаций"
"Нур-Султан","Цефтриаксон 1гр"
"Шымкент","Нужен дексаметазон 20 ампул 1мл"
"Семей","СТРОФАНТИН и ГЕПАРИН (ампулы)"
"Алматы","Мне нужна аскорбиновая кислота"
"Атырау","Цефтриаксон, Парацетамол, Метрид система, физраствор, шрпиц 5мл, лидокаин. Очень срочно нужны лекарства😣 Семьей болеем.. с температурой, с одышкой. Надеюсь получу обратной связь. Спасибо"
"Алматы","У мамы пневмония, срочно нужно лекарство Панавир . В аптеках по городу нет нигде"
"Актобе","Нужен Левофлоксацин раствор для инъекции (пожалуйста)"
"Семей","Левоксимед, раствор для инфузии"
"Кызылорда","Плаквенил"
"Алматы","Левофлоксацин в уколах, у отца друга сейчас пневмония и срочно нужны лекарства, вопрос жизни и смерти. Он в тяжелом состояний. В аптеках не можем найти этот укол. Заранее благодарю 🙏"
"Семей","Парацетамол"
"Шымкент","Кислород, тяжело дышать"
"Павлодар","Цефтриаксон"
"Нұр Сұлтан","Деньги на лечение"
"Актау","Куплю ингавирин арпефлю уколы цефтриаксон"
"Алматы","Парацетомол Аспирин"
"Шымкент","Нужны таблетки анаферон,  Ацикловир,  амбро"
"Алматы","Меропенем порошок для инъекций"
"Астана","Гроприносин"
"Кызылорда","Я очень нуждаюсь в ибупрофене,но нигде не могу найти,буду очень благодарна если поможете"
"Алматы","Раствор витамина С, парацетамол, спрей для носа Снуп"
"Алматы","3 мес.ребенок болеем.а лекарства нету в аптеках.мы живем в гресе"
"Алматы","Поставить капельницы на дому"
"Алматы","Фраксипарин"
"Шымкент","Деньги"
"Almaty","Зитмак ципролет"
"Алматы","Парацетамол,противовирусные детям"
"экибастуз","дексаметазон 4 мг и мегасеф 750"
"Шымкент","Жетісайда жаткан ағамызға меропенем деген дәрі таппай жатрк.уш кун болды.актау астана бёрін қаастырып жатырмыз.өтініш тауып беріңіздерш Алла  жар болсын"
"Актау","Дексаметозон"
"Алматы","Меропенем"
"Алматы","Нужен кислородный концентратор"
"Алматы","Мне нужны лекарства: левофлоксацин 100мл (или левоцин, офлоксацин), 10 флаконов; преднизалон 30мг 10 ампул; дексаметазон 4мг 15 ампул, где можно их купить"
"Астана","Цефтазидим"
"Мактааральский р-н","Здравствуйте! Очень нуждаемся в фин помощи я мама с двумя детьми в разводе на данный момент очень стыдно обращаться но больше обратиться не кому мои родители уже в возрасте папиной пенсии толком не хватает с этим карантином потеряла  работу детские сады закрыты мои родители не в силах смотреть за детьми у папы сердце и давление еще ограничили выход из дома так как ему уже 68 и мама тоже частенько прибаливает на данный момент остались без финансов как ослабят карантин обьязательно выйду на работу а сейчас нету выхода помогите пожалуйста очень стыдно потому что не обращалась никогда за помощью но такое положение не обошло нас стороной так тяжело и решила обратиться к вам спасибо большое за такую возможность пусть ваши добрые дела вернуться вам в стократном размере спасибо🙏🙏🙏🙏🙏🙏никогда не думала что у меня будет такая ситуация 😭😭😭😭"
"Шымкент","Продукты"
"Семей","Азитромицин, Сумамед, Азитро"
"Алматы, Шымкент","Левофлоксацин"
"Алматы","Нужны лекарства: Ингавирин 90 мг Гриприносин 500 м Тамифлю 75 мг"
"Актобе","Лекарство - аскорбиновая кислота в ампулах 1 уп, анаферон для взрослых 2 уп"
"Караганда","Цефртриоксон 60 и лидакаин 60 в аптеках не где найти не могу"
"Нур-султан","Флемоксин солютаб 1000 мг в таблетках"
"Нур-султан","Преднизолон 5 мг в таблетках"
"Шымкент","У нас мама в реанимаце тежлый состоянии декзамитазон надо пачку"
"Атырау","Офлоксацин 100мл 7 дней заменаюший Офло,метрогил,метрид,трихаполл Витамины; В6 10дней В 12 10дней в/м"
"Шымкент","Велкуин левофлоксацин 0,5% раствор для инфузий 10 флакон, эуфиллин 10 ампулы"
"Каскелен","Фраксипарин , дексиметазон, парацетамол, аскорбинка, глюкоза"
"Караганда","Нужен Цеф-3 (или аналоги на основе цефтриаксона)оплачу любую стоимость"
"Екибастуз, Павлодарская область","Цефтриаксон/ЦЕФ-3 порошок для приготовления раствора; метрогил в ампулах"
"Алматы и Шымкент","Меропенем или Архимакс порошок для системы"
"Қызылорда","100,200,500тг ден болса ақша аудара аласыздарма шамалы болсада көмек"
"Семей","Мукалти Цитрамон Асперин"
"Алматы","Пентаглобин и октагам"
"Нур-султана","Лекарства"
"Шымкент","Мне нужна деньги, для моих родителья"
"Алматы","Дексамитозон"
"Алматы","Децимитазон 10 ампул и тамифлю 75мл"
"Атырау","Аскорбиновая кислота в ампулах"
"Павлодар","Лекарство АКТЕМРА СРОЧНО!!!!!"
"Алматы облс село Шемалған","Асперин, клавам суспензия, нурафин сироп, гербион"
"Шымкент","Эуфиллин(раствор для внутреннего введения),дексаметазон(ампулы)"
"Нур-Султан","Куплю лекарства Азитрамици Левософлакцин в г. Нур-Султан срочно"
"Тараз","Цеф Парацетамо Ибуфе Анальгин димедрол"
"Алматы","Брат лежит в  больнице. лечили сперва 7 дей от корновируса а оказалось мененгит задолжала многим сама Многодетная Мама 7 рых детей не работаю у Мужа работу закрыли на карантин.буду благодарна на любую помощ ,но нужна сейчас денежная помощ долги отдавать брала на лекарства Кт анализы врачам Спасибо кто мимо не прошел.Благодарна создателю этой программы вы так хорошо подумали Мир не без добрых людей"
"Нур-султан","Цефтриаксон 15 шту Ледокаин 10 штук"
"Алматы","Архимакс"
"Нур-Султан","Меропенем или его аналоги"
"Алматы","продукты"
"Алматы","Физраствор 200мл, аскорбинка в ампулах, глюкоза 200 мл"
"Алматы","Тамифлю, клексан, Левомак"
"Алматы","детские  препараты,спирт ,вата"
"село Еңкес","Мне нужно 2000₸ на рентнен легких каспи нету если решите помочь постараюсь связаться с людьми у кого есть каспи голд"
"Алматы","дексаметазон ампула,офла ампула,амбро ампула нужна"
"Шымкент","Не можем найти Ремаксол срочно нужен подскажите может знаете где купить?"
"Алматы","Уже потеряли бабушку(( Сестра болеет ей очень плохо, нужны лекарства : ксалерто, фраксипарин, левофлакцин раствор , либо левомак срочно пожалуйста"
"Алматы","Очень нужен регидрон. Нигде нет. Неделю  мучаемся поиском"
"Алматы","Клексан нужен"
"шымкент","ищу лек во курантил бабушке срочна куплю"
"Павлодар","Левофлоксацин 100,0 хотя бы 10 флаконов.( ампулы) , не можем найти в аптеках (Павлодар, Астана, Алматы, Караганда, Петропавловск)"
"Семей","Мне нужен интерферон человеческий лейкоцитарный для интраназального введения в количестве 10 ампул по 1000 МЕ. Искала по всей аптеке нигде нет. Болеем всей семьей ОРВИ. Желательно с длительным сроком хранения."
"Алматы","Эуфиллин (растров для внутреннего введения 24 мог/мл"
"Алматы","Срочно: 10 ампул дексаметазона по 4 м 10 шприцов по 10 м 3 пачки аскорбиноврй кислоты для капельницы"
"Тараз","Парацетамол, антигриппин, ампициллин"
"Шымкент","Левофлоксацин р Миропенем в амп"
"Павлодар","Деньги"
"Актау","Аспирин, парацетамол, аналгин"
"Нур-Султан","Алувия"
"Актау","Парацетамол, антигриппин, натрий хлорид, аспирин"
"Алматы /Талдықорған","Кислородный баллон"
"Семей","Пожалуйста, срочно нужен гепарин в ампулах или клексан.Бабушка в тяжелом состоянии .Ни в одной аптеке нет,надежда только на людей ."
"Алматы","Ищу лекарство дексаметазон"
"Актау","Аскорбиновая кислота в ампулах"
"Балхаш","Ацикловир 400м Нимеси Цефтриакцо Асс тромби Срочно нужны"
"Атырау","Ципрофлоксацин 100 мг для реанимации"
"Астана","Преднизолон таблетки"
"Шымкент","Кислородный концентратор"
"Алматы","Парацетамол в таблетках и градусник"
"Атырау","цефалоспорины 3 поколения(цеф3,цефтриаксон)"
"Актау","Цефамед/Цефтриаксон"
"Алматы","Нужен срочно ципрокс 100"
"Шымкент","Реамберин срочно"
"Шымкент","Фраксипарин; цефамед; циклоферон; гентамицин; мильпронем; авелокс;"
"Нурсултан","Цефтриаксон  10шт и Саумал 1 банка"
"Алматы","эуфиллин преднизолон, аскорбинка в ампулах"
"Алматы","Нужна лекарство Дексаметазон"
"Нур султан","Цефтриаксон"
"Алматы","Аспирин(таблетки)-10пачек Парацетамол (таблетки)-5-6паче Кетанав (таблетки Антигриппин (таблетки АЦЦ"
"Актобе","Гепарин"
"Алматы","Мне нужно лекарство ДЕКСОМЕТАЗОН В АМПУЛАХ И ЭДНИТ В ТАБЛЕТКАХ"
"Алматы","Дексаметазон 1.0 м Аскорбинки драже/таблетк Аскорбиновая кислота в ампула Парацетамол"
"Семей","Система метрид цеф3 парацетамол ампицилин бион 3 зитмак500"
"Тараз","Нужна ампула-Аскорбиновая кислота"
"Алматы","Метрогил ампулы, аскорбиновая кислота ампулы, витамин Д в таблетках"
"Алматы","Ищу работу"
"Актобе","Антигриппин"
"Шымкент","Ингавирин таблетки Азитромицин таблетк Анаферон детский таблетки"
"Караганда","Цефтриаксон"
"Шымкент","Нам нужен Раствор Альбумина 20%  , мы сами оплатим, нужно , чтобы помогли найти по Казахстану"
"Нур-Султан","Зитмак 500мг 3 таблетки. У мамы поставили Ковид и единственное недостающее лекарство это. Каждый день обходим аптеки, нигде нет"
"Шымкент","Левофлоксацин ампула или аналог"
"Алматы","Лекарств Преднезало Дексаметазо Гепари Фраксипарин"
"Атырау","-Левофлоксацин 100.0 в/в кап.5 дн., -Физ.раствор 200.0+ аск.кислота 6.0+ дексаметазон 2.0 в/в кап.3 дн -Метрид 100.0 в/в кап.3 дн -Цефамед 1.0- 2 р/д в/м 5 дн -АЦЦ 600 мг по 1 тб - 1 р/д 7 дн - Анаферон  или Эргоферон по 1 тб -3-4 р/д 5-7 дн."
"Шымкент","Прошу о помощи у меня трое детей инволидов очень прошу вас помогите оплатить квартиру 🙏😭час дети болеют двух сторонная пневмания Аллах разылыгы ушин помогите в такую трудную минуту"
"КАРАГАНДА","ЦЕФ- 3.14 ампул.Ледокаин 14 ампул."
"Алматы","Мне нужен азитромицин 4 упаковки для мамы и дяди"
"Алматы","Аскорбиновая кислота в ампулах"
"Нур Султан","проблема с деньгами😭"
"Актобе","Нам на данной момент очень нужен градусник,кто может пожалуйста помогите ,именно ваша помощь возможно спасет нас!"
"Түркістан облысы","Киім-кешек. Азық-түлік"
"Алматы","Сумамед,Азитроцин взрослые"
"Атырау","Метрид"
"Алматы Ст.Чемолган","Карантинде кредит жауып берсениз.4 балам бар жумыссызбын.Квартирада турам.Куйеумнин жумысы бирде бар бирде жок."
"Алмата","Лекарство"
"Алматы","гексаметазон"
"Семей","Градусник, лекарствы от температуры и головной боли"
"алматы","где можно приобрести дексаметазон?"
"Алматы","Глюкоза для системы🙏🏻"
"Алматы","Срочно нужна кислородная маска в баллончиках, можно даже пУстой баллон , куплю 🙏🏽🙏🏽🙏🏽🙏🏽"
"Алматы","Лекарство клексан"
"Астана","Лекарства: дексаметазол, гепарин (аналоги)"
"Атырау","Ципрофлоксацин ципролет"
"Алматы","ребят я уже говорили но никакой помощи нет до сих пор. Я так на вас надеюсь. Я сдала все золото и купила 6 ампул теперь ещё 4 ампул нужно одна ампула стоит 33.000 больше нету. Телефон в ломбард не берут сильная трещина экрана айфон 6 у меня. Прошу помощи у вас. Мне даже кредит отказали и микро организации. 140.000 нужно найти до завтра . по 50,100,200,500 помогите пожалуйста. Алла разы болсын . Каспий 87473275057"
"Шымкент","Здравствуйте.нужна помощь.к сожалению дома даже хлеба нет.дети маленькие.буду рада любым продуктам"
"Шымкент","Материальная."
"Нур-Султан","Срочно АВЕЛОКС раствор для инфузий .МЕРОНЕМ в виде раствора . Дедушка с пневмонией лежит в больнице .пожалуйста"
"Павлодарская область, город Экибастуз","Ципрокс система антибиотик"
"Атырау","Ацц 600 для папы куплю"
"Шымкент","Нужен препарат  цеф 4 или цефипим"
"Нур-Султан","Мне нужны препараты аспирин, тамифлю или же нолидес"
"Алматы","Добрый день, нужен левомак раствор"
"кызылорда","нужен цефтриаксон"
"Костанайская область, город Рудный","Градусник, парацетамол, антисептик, маски"
"Актау","Градусник"
"Алматы","Мамам ауырып жатыр пневномание болып катты😪ешкандай дари таппадык Офло система кажет болып тур катты отиниш комектесиниздерши"
"Алматы","Витамин С в виде ампул ( система ) глюкоза тоже виде системы куплю дорого"
"Нур-Султан","Курантил 25 драже (готова оплатить по рыночной цене)."
"Шымкент","Ингавирин"
"Нур-Султан","Медикаменты : парацетомол, тамефлю, ингавирин, витамин С"
"Семей","Цевтриаксион 7шт"
"Тараз","Градусник, метрит для в/в инъекций"
"Шымкент","Градусник"
"Алматы","Дексаметазон в ампулах Фраксипарин 0,3 мл в ампулах"
"Капчагай","Дексаметазон 8.0+ натрий хлорид 0.9%. 5 штук  и противовирусные припарады (Амизон и.др)"
"Алматы","нужен Дексаметазон 1, нужен парацетамол"
"Nur-Sultan","Подскажите, в какой аптеке можно приобрести Леволет, Флорокс-л в виде раствора для инфузий"
"Уральск","Нужен градусник (лучше было бы ртутный)"
"Шымкент","Глюкоза аскорбинка в ампулах"
"Тараз","Метрит система"
"Kyzylorda","Аскорбиновая к-та в инъекциях"
"Нур-Султан","Продукты и лекарств"
"Қызылорда","Парацетамол, анаферон"
"Шымкент","Салеметсиздерме. Есимим Алмагул. Шымкент каласынан боламын. Отбасымда 4 балам бар. Куйеумен ажырасканмын 4 жылдын колеминдей болды. Мен жане 2 балам 3топтагы мугедек. Куйеум психалык учета турады. Сондыктан наследственный ауру десемде болады. Озим мектепте санитарка болып жумыс жасаймын. Карантинге байланысты жумысыз калдым. Квартирама толейтин акша болмай тур туыстарыма ауырлык салгым келмейди. Казактарда осек айту жамандау деген баргой,4 баланмен ажырастынба бишара кунын коре алмай жур деген. Отиниш продукты немесе акшалай комектесениздер Алла разылыгы ушин тек. Жасаган жаксылыктарыныз алдыларыныздан айналып кайтсын. Ин Ша Аллах. Каспи 8701-361-35-73                   Здравствуйте. Меня зовут Алмагул. У меня 4 детей. Разведена. У меня и 2-е детей инваилиды, как у мужа наследственный болезнь. Остался без рабоыт. Раньше работала в школе санитарка. Есть среди вас добрые люди прощу вас помочь мне.  Умоляю. Живу в городе Шымкент. Продкутами или финансовом. Каспи 8701-361-35-73"
"Атырау","Нужен цеф3  и метод обменяю на флемоксин солютаб 500мг"
"Шымкент","Метрогил,аскорбинка,"
"Шымкент","Очень нужен градусник, пожалуйста... и лекарство ИНГОВЕРИН взрослый 🙏🏼🤲🏻"
"Павлодар","Парацетамол, терафлю, ингавирин, витамины, антибиотики от кашля, жаропонижающие"
"Алматы","Фраксипари Клексан Леволе Левозин Аскорбиновая Дексаметозон Реамбери Эуфиллин"
"Нур Султан","Клексан 0.6 шприцы как можно больше (или фраксипарин. И цефтриаксон,аскорбиновая в амп.глюкоза в амп."
"Павлодар","Куплю аскорбинку в ампулах, для внутривенной инерции."
"Нур-Султан","Инговерин 90"
"Астана","1) Нужны уколы - Цефтриаксо 2) Ингаверин"
"Алматы","Градусник нужени и аспирин"
"Нур султан","Клексан,цефтриаксон,левофлоксацин"
"Тараз","Инговерин и азитромицин Нужны"
"Алматы","Нужен срочно франсипарин 0,6мл или гепарин5000ЕД(папа в тяжелом состоянии,прошу у кого есть)"
"Алматы","Фраксипарин 0,4 мл ,клексан 0,4мл"
"Тараз","Нужен порошок для инъекций «Цефтриаксон 1 грамм» 20 штук и «Лидокаин» 20 штук. Заранее благодарю🙏"
"Алматы","Фраксипарин , Клексан"
"Алматы","Меропенем порошок для приготовления раствора для инъекций"
"Алматы/Шымкент(любые города)","Тималин ампулы, пожалуйста, у кого есть?"
"Тараз","Противовирусный, аскорбинка (система)"
"Бийск Алтайский край","Лекарство от гепатита С"
"Шымкент","ингавирин клексон 0, фраксин 0,3"
"Алматы","Азитромицин 500мг 6 капсул"
"Бишкек","инголятор кислород"
"Казахстан","Бахытжанұлы Ернар Диагнозы Дцп Гиперкинез спастика. Өзі отырып өзі тамақ жей алмайды жүреалмайды тұрмайды. Баламның кезікті еміне қаражат керек  КАСПИ НОМЕР : 87072026737 Ш. КАСПИ ГОЛД : 5169 4971 2052 583 Ағасы : Шахмардан Бахытжа СБЕРБАНК : 4578 3200 0173 916 Анасы : Жансая Мақсатқызы"
"Шымкент","Эртапенем ,Ревотаз"
"Алматы","Нужно лекарство Сумамед"
"Алматы","Дексаметазон в ампулах"
"Каскелен","Нужен реамберин,до 10шт"
"Шымкент","эуфиллин, дексаметазон"
"Атырау","Леволет ампула 500мг"
"Сарыагаш","Парацетамол детский и взрлслый"
"Тараз","Метрид Демотон"
"Алматы","Здравствуйте  я осталось одна с детьми муж ушел от нас  и оставил нас без денег и без продуктов и у меня у детей нос забит тепература пожалуйста помогите нам"
"Алматы","Костыли для тетя Баян. Пожалуйста вы можете подарить костыли инвалиду 2 группа."
"Алматы","Беременность 31 недель, нужен клексан в любой дозировке (0.2, 0.4, 0.6, 0.8). В связи с пандемией нет в наличии нигде. Его нельзя прерывать при длительном применении в беременность."
"Шымкент","Леволет для инъекций 500 мг"
"Алматы","Деньги на продукты"
"Шымкент","Продукты, и денги"
"Нур-Султан","Цеф 4, Фраксипарин 0.4"
"Алматы","Элементарно не могу найти электронный градусник и осельтамивир с ингавирином"
"Павлодар","Цеф3 аксон"
"Алматы","фраксипарин, клексан"
"Тараз","Я не могу заплатить свои кредиты, так из за карантина  закрывают салоны красоты. Салоны красоты плотят мне аренду. Этими средствами я оплачиваю свои кредиты. Все средства взяты под залог имущества. Боюсь остаться без дома"
"Алматы","Очень нужен клексан 0.4 мл или фраксипарин - 5 штучек. И левомак или офло 100 мл - 5 штучек"
"Аягуз","Аспирин, парецетамол"
"Бишкек","Мне нужен Арбидол 3 пачки"
"АЛма ты","Деньгами.  Живу на квартире 4детей.  Лекарства аспирин антигрппин. Цитрамон ампецелин"
"Нур-Султан","Здравствуйте! Моему папе срочно нужны таблетки Алувиа или Калидавир. Спасибо большое."
"Алматы","Сәлеметсіздерме , ақшалай көмек бересіздерме , жұмыссыз қалдым , кв жалдап тұратын едім , каспий голд бар нөмерімде, көмектескендерге алдын ала рахмет ! 🙏"
"Алматы","дексаметазон В ампулах Эуфиллин в ампулах"
"Уральск","Парацетамол"
"Нур-Султан","Цефтриаксон"
"Алматы","Нужен клексан 0,4 - шприцы с лекарством (беременная, у меня тромбофилия. Эти уколы очень важны для меня, а теперь не могу купить это лекарство)"
"Шымкент","Нужен антибиотик меропенем"
"Павлодар","Актемра 10 мл"
"Алматы","Дексаметазон, Ксарелто, Аскорутин, Гепарин. Заранее Благодарю🙏"
"Семей","Детский бифрон,парацетамол"
"Шымкент","я к врачу не обратилась но уменя сильное жар и головная боль. В аптеке нету лекарств"
"Жамбылская область село мерке","Мне нужно лекарство Меронем порошок для внутренних инъекций"
"Астана","Цефтриаксон"
"Актобе","Амбро в ампулах, Метрогипротранс, парацетамол"
"Алматы",", дексаметазон"
"Актау","У нас нет леволета"
"Алмата","Капельницы 10шт,метрогил 5шт,витамины10шт  +глюкоза 10шт,цефтриоксон 7шт,одноразовую шаприцы17шт"
"Алматы","Градусник"
"Алматы","Парацетамол,Аспирин,Цеф3оксон,Аскорбинка,Ревит,Анальгин,Мукалсан,Бисептол,Цитромон"
"Шымкент","Нужен гепарин, для разжижения крови."
"Нур-Султан","Противовирусные лекарство"
"Алматы","Азитрлмицин 500 г Физ раствор400 гр 5 шт"
"Тараз","Дексаметазон Аскорбинка"
"Семей","Левофлоксацин"
"Шымкент","Левомак, левофлоксацин"
"Алматы","Камефлю, Лебисин, Ингавирин"
"Алматы","Пропасол,парацетомол,аспирин"
"Нур-султан","Ингаверин 90мкг 10 капсула = 8 пачка или эргоферон"
"Алматы","Денежный"
"Алматы","Цефазолин цефтриаксон ледокаин противовирусное парацетамол градусник"
"Алматы","Я кормящая мама, першит в горле слабость врач ничего толком не обьясняет в аптеках лекарств нет"
"Актау","Здравствуйте мне на продукты нужны деньги пожалуйста помогите, у мужа остановился работа.живем в квартире оплатить не можем"
"Караганда","Антидеприсант-Амитриптилин, витамин С, Витамин Д, трамадол любой фирмы от боли в позвоночнике обычные препараты не снимают боль так же как и мази."
"Алматы","Жаропонижающее лекарства, в виде таблеток"
"Алматы","Градусник"
"Актобе","Азитромицин. Левофлаксоцин цефриаксон"
"Шымкент","Клексан лекарство"
"Шымкент","Белацеф, Гентамицин, меропенем 4 фл, эртопенем 4 фл, эртопик 4 фл"
"Туркестан","Нужен Фраксипарин 0.4 и 0.6"
"Караганда","Электронный градусник"
"Алматы","Парацетамол 5шт"
"Семей","Меропеном"
"Almaty","Аскорбиновая кислота, мукалтин, цефтриаксон"
"Актау","оскорбинова кислота"
"Алматы","Лидокайн 10 ш Глюкоза 5 флакон 200 или 400 Аскорбиновая кислота 30 ампула Парацетамол Аспири Левофлоксацин 500 гр"
"Караганда","Клаксан- моя крёстная в тяжелом состоянии. Антибиотиков нигде  и не у кого нет. Ей назначил доктор."
"Тараз","Дексаметазон. Связываться через вотсапп, т.к. ищу лекарства для близких из Казахстана, сама в России"
"Алматы","Аскорбиновая кислота в ампулах. Болею, иммунитет слабый"
"Шымкент","Меропанем,"
"Жанаозен","Аналгин и демедрол"
"Алматы","Нужна помощь финансово. Маленький сын болеет невралогический. Надо сделать книмки МРТ КТ УЗИ головы. Киста арахноидальная в задней черепной ямке"
"Алматы","Финансово нужна помощь. Так как на последние деньги скупили лекарства. Надо ещё долечиться. У мамы бронх обострилась. Полагаюсь на вашу поддержку."
"Атырау","Мне очень нужен укол цефтриаксон с новакайном и шприцом. И жарапонижающии. Пожалуйста помогите я многодетная. Ии недавно родила. Заранее спс"
"Шымкент","Меропенем, клексан,дексаметазон,преднизалон,оксон, эуфиллин, амбро, ингавирин"
"Нурсултан","Градусник его сейчас нигде нету а дома когда у кого то температура мы не можем узнать сколько тем."
"Астана","Антивирусное лекарство для системы"
"Алматы","Мне нужен градусник, так как мой братик заболел и у него температура поднимается 🥺а в аптеках он стоит 1.000 тенге, буду очень благодарна 🙏🏼🥺"
"Алматы","Дексаметазон"
"Алматы","NaCl 0.9%100мл, аскорбиновая кислота 10.0,Дексаметазон 8,0"
"Шымкент","Салем дари дармекке акша керек мамам"
"Алматы","Парацетамол взрослый, жаропонижающие лекарства, и от горла."
"Алматы","Парацетамо Ацетилсалициловая кислот Антигриппи Мазь Азели Аскурути Глецин"
"Нурсултан","Двое детей 8 и 5, у сына болит зуб, я пила антибиотики неделю, перешла на таблетки, не чувствую запаха, слабость,   устала, одна с детьми в разводе, мне нужны кроссовки сыну  Мазоли натер, никуда не выходила, доча выходит, Маме отправила 20 тыс она врач, сама лежит в б-це 😭 Мед Сестра умерла от болезни, Алла сакта Маму мою! 🙏🏻 Когда закончится вся эта хрань. Всем терпения! Если можно мне сахара, курицу, масло,  мыломойку, детям нужна Обувь и стоматологу, может делают бесплатно? Или там очередь, если можно деньгами поведу завтра к обычным на каспи"
"Алматы","Фраксипарин 0,3 иГепарин 0,6"
"Алматы","Градусник"
"Караганда","Мама болеет и я. Нам назначили антибиотики, цеф 3 и азитромицин. Ну у нас негде их взять. У меня уже одышка еле хожу, мама лежит. Пожалуйста помогите с антибиотиками. Пока не стало хуже."
"Курчатов","Мен мұнда жанадан көшіп келдім күйеуіммен пропискам шымкентте сондыктан каз мен больницаларға қарала алмаймын қаралсам платный ал менде не дәрі алуға платныйға қаралуға ақшам жоқ сондықтан көмек жазып тұрмын"
"Атырау","1. Метрид 100,0 в/в    5 дне 2. Физ р-р 200,0 + аск килота 4,0 в/в капельно 5 дне 3. Цефазолин 1,0 в/в или в/м 2 раза в день 7 дней 4. Сумамед ( азитромицин) по 1 таб 1 раз в день 5-7 дней 5. Аспирин и парацетомол при температуре 6. Реамберин"
